S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;SAD;SD;Real;Imaginary;MeanB
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,38416330431340140;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,33066361358809798;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,28861006462949235;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,09361472589371289;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,02378358079752076;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,02115447713823741;6,40773251978641e-04;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,02115447713823741;-6,40773251978641e-04;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01924352816287445;0,00000000000000e+00;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01906643116195725;2,40688283559982e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01906643116195725;-2,40688283559982e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01767154643199971;4,49757059064415e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01767154643199971;-4,49757059064415e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01419212703410419;4,90235680227506e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01419212703410419;-4,90235680227506e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01468380504112072;2,85132696088247e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01468380504112072;-2,85132696088247e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01401340854490199;1,54842476327931e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,27881143451668322;TRUE;Carrying Capacities;3,000000000000000;-0,01401340854490199;-1,54842476327931e-03;-4,43294810833558550
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,08853347827322722;0,00000000000000e+00;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,08550381970059284;2,14523775990674e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,08550381970059284;-2,14523775990674e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,07254682619708119;0,00000000000000e+00;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,06008093904935530;4,59380265205020e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,06008093904935530;-4,59380265205020e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,05991629514358232;2,44659242023353e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,05991629514358232;-2,44659242023353e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,05490176148439785;3,88694715423817e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,05490176148439785;-3,88694715423817e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,05179488862948656;1,09455982571320e-03;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,05179488862948656;-1,09455982571320e-03;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,04713603806634503;1,17780366255698e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,04713603806634503;-1,17780366255698e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,03785852217980157;2,78901450323210e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,03785852217980157;-2,78901450323210e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,03645425387215728;4,08542471182287e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,03645425387215728;-4,08542471182287e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,02978474144943899;3,70835358222229e-03;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,02978474144943899;-3,70835358222229e-03;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,02558144353247949;1,39922839582820e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,02558144353247949;-1,39922839582820e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,01720681877056762;5,47078507857445e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,01720681877056762;-5,47078507857445e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,01678361853436483;3,82540924460539e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,01678361853436483;-3,82540924460539e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,01375335042486325;1,83338015396824e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,01375335042486325;-1,83338015396824e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,00785815079850005;2,96047380816646e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,00785815079850005;-2,96047380816646e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,00218937548383469;4,78187655229316e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,00218937548383469;-4,78187655229316e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,00098214990926193;2,80882196156401e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-1,00098214990926193;-2,80882196156401e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-0,99573085417349616;7,11547168204631e-03;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-0,99573085417349616;-7,11547168204631e-03;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-0,97469087048869785;1,99644171859179e-02;-0,00157950887456305
