S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Feasible;Eigenvalue;Stable;Type
20;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,45734429848380381;1;-0,85983807161255932;TRUE;Feasible Pairwise
20;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,45734429848380381;1;-0,53543059846978613;TRUE;Constrained HOIs
30;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,02428745361976326;1;-0,87527255004209614;TRUE;Feasible Pairwise
30;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,02428745361976326;1;-0,27337688448051717;TRUE;Constrained HOIs
40;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,46313114115037024;1;-0,84052105685280654;TRUE;Feasible Pairwise
40;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,46313114115037024;1;-0,00558162750940047;TRUE;Constrained HOIs
50;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,56453958153724670;1;-0,79227421022466116;TRUE;Feasible Pairwise
50;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,56453958153724670;1;0,22291317425916785;FALSE;Constrained HOIs
60;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,63454691087827086;1;-0,80476951039323330;TRUE;Feasible Pairwise
60;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,63454691087827086;1;0,42970254495087601;FALSE;Constrained HOIs
70;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,73764541489072144;1;-0,75413192937978157;TRUE;Feasible Pairwise
70;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,73764541489072144;1;0,67857654237524401;FALSE;Constrained HOIs
80;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,09206346678547560;1;-0,77658668931448749;TRUE;Feasible Pairwise
80;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,09206346678547560;1;0,97526624889663260;FALSE;Constrained HOIs
90;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,71227645291946828;1;-0,75586629274943307;TRUE;Feasible Pairwise
