S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;TargetAbd;Feasible;Eigenvalue;Stable;Type
3;1;0;1;0;-0,25;0,25;0;0;0,809309309309309;1;-0,363455573753296457;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,810810810810811;1;-0,365993681372494439;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,812312312312312;1;-0,368531859564790676;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,813813813813814;1;-0,371070108816558275;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,815315315315315;1;-0,373608429618649651;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,816816816816817;1;-0,376146822466443043;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,818318318318318;1;-0,378685287859899522;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,819819819819820;1;-0,381223826303613511;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,821321321321321;1;-0,383762438306866627;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,822822822822823;1;-0,386301124383682748;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,824324324324324;1;-0,388839885052884471;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,825825825825826;1;-0,391378720838143346;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,827327327327327;1;-0,393917632268048323;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,828828828828829;1;-0,396456619876151439;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,830330330330330;1;-0,398995684201030210;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,831831831831832;1;-0,401534825786352134;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,833333333333333;1;-0,404074045180926766;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,834834834834835;1;-0,406613342938772548;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,836336336336336;1;-0,409152719619174154;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,837837837837838;1;-0,411692175786751102;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,839339339339339;1;-0,414231712011515263;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,840840840840841;1;-0,416771328868937918;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,842342342342342;1;-0,419311026940015763;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,843843843843844;1;-0,421850806811337464;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,845345345345345;1;-0,424390669075150440;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,846846846846847;1;-0,426930614329426250;TRUE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,848348348348348;1;-0,429470643177936318;TRUE;Constrained HOIs
