S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;TargetAbd;Type
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3377336021512747;TRUE;2,336666666666666;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3377336021512747;TRUE;2,724444444444444;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3377336021512747;TRUE;3,112222222222222;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3377336021512747;TRUE;3,500000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;TRUE;0,397777777777778;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;FALSE;1,561111111111111;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;FALSE;1,948888888888889;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;FALSE;2,336666666666666;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;FALSE;2,724444444444444;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;FALSE;3,112222222222222;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,6031917189247906;FALSE;3,500000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;FALSE;0,397777777777778;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;1,561111111111111;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;1,948888888888889;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;2,336666666666666;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;2,724444444444444;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;3,112222222222222;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3480085055343807;TRUE;3,500000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;TRUE;0,397777777777778;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;FALSE;1,561111111111111;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;FALSE;1,948888888888889;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;FALSE;2,336666666666666;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;FALSE;2,724444444444444;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;FALSE;3,112222222222222;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,7908550298307091;FALSE;3,500000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;FALSE;0,397777777777778;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;TRUE;1,561111111111111;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;TRUE;1,948888888888889;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;TRUE;2,336666666666666;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;FALSE;2,724444444444444;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;FALSE;3,112222222222222;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,0924958621617407;FALSE;3,500000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;TRUE;0,397777777777778;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;FALSE;1,561111111111111;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;FALSE;1,948888888888889;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;FALSE;2,336666666666666;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;FALSE;2,724444444444444;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;FALSE;3,112222222222222;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3830890804529190;FALSE;3,500000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;FALSE;0,397777777777778;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;TRUE;1,561111111111111;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;TRUE;1,948888888888889;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;TRUE;2,336666666666666;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1618811450898647;TRUE;2,724444444444444;Carrying Capacity
